Expected matrix,
Inner Richmond,17.9613,80.1015,59.2432,7.9667,0.0000,0.0000,5.0697,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.6576,0.0000,0.0000,0.0000
Lone Mountain/USF,16.5205,73.6762,54.4911,7.3277,0.0000,0.0000,4.6631,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,15.3215,0.0000,0.0000,0.0000
Outer Richmond,43.7986,195.3277,144.4648,19.4268,0.0000,0.0000,12.3625,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.6197,0.0000,0.0000,0.0000
Sunset/Parkside,45.7196,203.8947,150.8009,20.2789,0.0000,0.0000,12.9047,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,42.4012,0.0000,0.0000,0.0000
1,NON_PAYMENT,4.6047
1,BREACH,0.0277
1,NUISANCE,2.3601
1,ILLEGAL,2.2241
1,LATE_PAY,0.0646
4,NON_PAYMENT,0.4872
4,BREACH,0.5821
4,NUISANCE,1.5319
4,ILLEGAL,0.0806
4,LATE_PAY,1.3618
chi,21.4761,df,12,pVal,0.0438
