Expected matrix,
Haight Ashbury,21.1627,112.5856,87.3597,10.8353,0.0000,0.0000,5.9256,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,19.1311,0.0000,0.0000,0.0000
Hayes Valley,33.0204,175.6686,136.3083,16.9065,0.0000,0.0000,9.2457,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,29.8505,0.0000,0.0000,0.0000
Nob Hill,35.5731,189.2490,146.8458,18.2134,0.0000,0.0000,9.9605,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,32.1581,0.0000,0.0000,0.0000
North Beach,18.7747,99.8814,77.5020,9.6126,0.0000,0.0000,5.2569,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,16.9723,0.0000,0.0000,0.0000
Western Addition,16.4690,87.6153,67.9842,8.4321,0.0000,0.0000,4.6113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,14.8880,0.0000,0.0000,0.0000
3,NON_PAYMENT,0.4101
3,BREACH,1.9957
3,NUISANCE,1.1650
3,ILLEGAL,0.2705
3,LATE_PAY,0.9297
5,NON_PAYMENT,3.1485
5,BREACH,0.0178
5,NUISANCE,0.0212
5,ILLEGAL,0.0025
5,LATE_PAY,1.8004
chi,42.9632,df,16,pVal,0.0003
