Expected matrix,
Inner Richmond,21.3514,92.6087,62.5109,9.2609,0.0000,0.0000,0.0000,83.3478,7.4601,11.8333,0.0000,49.9058,0.0000,0.0000,0.0000,16.7210,0.0000,0.0000,0.0000
Lone Mountain/USF,15.7580,68.3478,46.1348,6.8348,0.0000,0.0000,0.0000,61.5130,5.5058,8.7333,0.0000,36.8319,0.0000,0.0000,0.0000,12.3406,0.0000,0.0000,0.0000
Outer Richmond,45.8906,199.0435,134.3543,19.9043,0.0000,0.0000,0.0000,179.1391,16.0341,25.4333,0.0000,107.2623,0.0000,0.0000,0.0000,35.9384,0.0000,0.0000,0.0000
Inner Richmond,NON_PAYMENT,4.0957
Inner Richmond,BREACH,0.0279
Inner Richmond,NUISANCE,0.0365
Inner Richmond,ILLEGAL,1.9604
Inner Richmond,OWNER_MOVE_IN,4.1741
Inner Richmond,DEMOLITION,2.6666
Inner Richmond,CAPITAL_IMPROVEMENT,1.4671
Inner Richmond,ELLIS_ACT_WITHDRAWAL,0.3359
Inner Richmond,LATE_PAY,1.9574
Lone Mountain/USF,NON_PAYMENT,0.4827
Lone Mountain/USF,BREACH,0.8567
Lone Mountain/USF,NUISANCE,2.1095
Lone Mountain/USF,ILLEGAL,0.4925
Lone Mountain/USF,OWNER_MOVE_IN,0.9176
Lone Mountain/USF,DEMOLITION,0.0444
Lone Mountain/USF,CAPITAL_IMPROVEMENT,2.0845
Lone Mountain/USF,ELLIS_ACT_WITHDRAWAL,4.4705
Lone Mountain/USF,LATE_PAY,0.5731
Outer Richmond,NON_PAYMENT,3.1954
Outer Richmond,BREACH,0.1835
Outer Richmond,NUISANCE,0.5195
Outer Richmond,ILLEGAL,1.8668
Outer Richmond,OWNER_MOVE_IN,0.6926
Outer Richmond,DEMOLITION,0.9810
Outer Richmond,CAPITAL_IMPROVEMENT,2.7964
Outer Richmond,ELLIS_ACT_WITHDRAWAL,0.7118
Outer Richmond,LATE_PAY,0.2608
chi,39.9610,df,16,pVal,0.0008
