Expected matrix,
Financial District/South Beach,5.7311,39.5014,48.8067,3.6359,0.0000,0.0000,0.0000,0.8627,4.7451,1.8487,0.0000,2.5882,0.0000,0.0000,0.0000,2.2801,0.0000,0.0000,0.0000
South of Market,30.6874,211.5120,261.3378,19.4683,0.0000,0.0000,0.0000,4.6196,25.4078,9.8992,0.0000,13.8588,0.0000,0.0000,0.0000,12.2090,0.0000,0.0000,0.0000
Tenderloin,56.5815,389.9866,481.8555,35.8958,0.0000,0.0000,0.0000,8.5176,46.8471,18.2521,0.0000,25.5529,0.0000,0.0000,0.0000,22.5109,0.0000,0.0000,0.0000
Financial District/South Beach,NON_PAYMENT,6.8572
Financial District/South Beach,BREACH,1.4235
Financial District/South Beach,NUISANCE,7.2468
South of Market,NON_PAYMENT,7.6408
South of Market,BREACH,5.3097
South of Market,NUISANCE,13.0226
Tenderloin,NON_PAYMENT,8.2317
Tenderloin,BREACH,1.7352
Tenderloin,NUISANCE,12.3508
chi,63.8182,df,4,pVal,0.0000
