Expected matrix,
Inner Richmond,19.6430,87.6015,64.7903,8.7126,0.0000,0.0000,0.0000,87.1263,19.6430,9.1879,0.0000,40.0781,0.0000,0.0000,0.0000,18.2173,0.0000,0.0000,0.0000
Lone Mountain/USF,14.4971,64.6524,47.8170,6.4302,0.0000,0.0000,0.0000,64.3017,14.4971,6.7809,0.0000,29.5788,0.0000,0.0000,0.0000,13.4449,0.0000,0.0000,0.0000
Outer Richmond,42.2187,188.2816,139.2535,18.7260,0.0000,0.0000,0.0000,187.2602,42.2187,19.7474,0.0000,86.1397,0.0000,0.0000,0.0000,39.1544,0.0000,0.0000,0.0000
Sunset/Parkside,47.6412,212.4645,157.1392,21.1312,0.0000,0.0000,0.0000,211.3119,47.6412,22.2838,0.0000,97.2035,0.0000,0.0000,0.0000,44.1834,0.0000,0.0000,0.0000
1,NON_PAYMENT,5.8991
1,BREACH,0.1182
1,NUISANCE,1.2614
1,ILLEGAL,2.8255
1,OWNER_MOVE_IN,1.9810
1,DEMOLITION,11.6931
1,CAPITAL_IMPROVEMENT,0.3822
1,ELLIS_ACT_WITHDRAWAL,10.3511
1,LATE_PAY,0.0006
4,NON_PAYMENT,0.9258
4,BREACH,1.7832
4,NUISANCE,0.4996
4,ILLEGAL,0.2149
4,OWNER_MOVE_IN,1.0210
4,DEMOLITION,47.0780
4,CAPITAL_IMPROVEMENT,4.7459
4,ELLIS_ACT_WITHDRAWAL,15.0150
4,LATE_PAY,0.7657
chi,158.2887,df,24,pVal,0.0000
